Antioxidant;Antioxidans
Brodmann area 11;
Brodmann area 13;
Brodmann area 14;
Brodmann area 15;
Brodmann area 18;
Brodmann area 19;
Brodmann area 20;
Brodmann area 21;
Brodmann area 22;
Brodmann area 40;
Brodmann area 41 & 42;
Brodmann area 44;
Brodmann area 45;
Brodmann area 46;
Brodmann area 47;
Brodmann area 8;
Brodmann area 9;
Broken heart;Liebeskummer
Bromomethane;Brommethan
Bronchial thermoplasty;
Bronchomalacia;
Bronchophony;Bronchophonie
Bronchopleural fistula;
Brooke Greenberg;Brooke Greenberg
Broviac catheter;
Browline glasses;
Brown's syndrome;Brown-Syndrom
Brown Animal Sanatory Institution;
Bruce Beutler;Bruce Beutler
Bruce D. Perry;
Bruce Dobkin;
Bruce protocol;Bruce-Protokoll
Bruch's membrane;Bruch-Membran
Brudziński's sign;Brudzinski-Zeichen
Brunner syndrome;
Bruns nystagmus;
Bryostatin;
Buccal space;
Buffy coat;Buffy-Coat
Bugchasing;Pozzen
Bulb of vestibule;
Bundeswehr Joint Medical Service;Zentraler Sanitätsdienst der Bundeswehr
Bureau of Health Professions;
Burning feet syndrome;
Burra Narsaiah;
Bursting;
Buttock augmentation;
Butylated hydroxytoluene;Butylhydroxytoluol
C-Fos;
C-peptide;C-Peptid
C-terminal telopeptide;
C. Henry Kempe;
CCR2;
CD44;
CD74;
CD80;
CD94/NKG2;
CDK inhibitor;CDK-Inhibitor 2A
CFP-10;
CGI Group;CGI Group
CHADS2 score;
CHARGE syndrome;CHARGE-Syndrom
CHDI Foundation;
CHHIP;
CHIMES Society;
CIOMS/RUCAM scale;
CLIP (protein);
COMLEX-USA;
CPSGT;
CURB-65;CURB-65
CaGrid;
Cadaver;Leiche
Cadaveric blood transfusion;
Cadet Nurse Corps;
Caecitis;Typhlitis
Calcaneal fracture;
Calcaneus;Fersenbein
Calcific bursitis;
Calcification;
Calciphylaxis;Calciphylaxie
Calcitriol receptor;Vitamin-D-Rezeptor
Calculus (medicine);Konkrement
Caldicott Report;
Caldwell Esselstyn;Caldwell Esselstyn
Calicut Medical College;
California Medical Association;
California Speaks;
Caloric reflex test;
Caloric restriction mimetic;
Calvin C.J. Sia;
Cambridge Pulmonary Hypertension Outcome Review;
Camilla Stoltenberg;
Camptodactyly-arthropathy-coxa vara-pericarditis syndrome;
Canada's Access to Medicines Regime;
Canada's Food Guide;
Canada v. GlaxoSmithKline Inc.;
Canadian Association of General Surgeons;
Canadian Coast Guard Auxiliary;
Canadian Foundation for AIDS Research;
Canadian Health Libraries Association;
Canadian Journal of Respiratory Therapy;
Canadian Medical Association;
Canadian Medical Protective Association;
Canadian Memorial Chiropractic College;
Canadian Network for International Surgery;
Canadian Nurses Association;
Canadian Partnership Against Cancer;
Canadian Resident Matching Service;
Canadian Stroke Network;
Cancer Campus;
Cancer Council Queensland;
Cancer Genome Project;
Cancer Research (journal);Cancer Research
Cancer Treatment Centers of America;
Cancer and Leukemia Group B;
Canine cancer detection;
Canine space;
Capgras delusion;Capgras-Syndrom
Capillaria hepatica;Capillaria hepatica
Capillaria philippinensis;
Capillary leak syndrome;Kapillarlecksyndrom
Caplan's syndrome;Caplan-Syndrom
Capsular contracture;Kapselfibrose
Capsule endoscopy;Kapselendoskopie
Carbamoyl phosphate synthetase I deficiency;
Carbaryl;Carbaryl
Carbofuran;Carbofuran
Carbon nanotubes in medicine;
Carcinogenesis (journal);Carcinogenesis
Cardiac Cath Lab Director;
Cardiac Risk in the Young;
Cardiac electrophysiology;
Cardiac fibroma;
Cardiofaciocutaneous syndrome;Kardio-fazio-kutanes Syndrom
Cardiology in Review;
Cardiothoracic surgery;Herzchirurgie
Cardiovascular disease and diabetes in Australia;
Cardiovascular physiology;
Cardiovascular technologist;
CareFlight;
Care in the Community;Community Care
Caring for people with dementia;
Carl Ernst Bock;Carl Ernst Bock
Carl Heitzmann;
Carl Reinhold August Wunderlich;Carl Reinhold August Wunderlich
Carl Rogers Darnall;
Carl Wigand Maximilian Jacobi;Maximilian Jacobi
Carlo La Vecchia;
Carlo Musso;
Carlos Alberto Pellegrini;
Carlos Pardo-Villamizar;
Carnett's sign;
Carnitine-acylcarnitine translocase deficiency;
Carnitine palmitoyltransferase I deficiency;
Carnosinemia;
Carol Friedman;
Carole Lieberman;
Caron Foundation;
Carotid sinus;Sinus caroticus
Carrion's disease;Oroya-Fieber
Cartilage (journal);
Cartilage–hair hypoplasia;
Case Western Reserve University School of Medicine;
Case fatality rate;Letalität
Case management (mental health);
Caseous necrosis;Verkäsung
Caspar Wistar (physician);Caspar Wistar
Castell's sign;
Casualty evacuation;
Casualty notification;
Cat eye syndrome;Katzenaugen-Syndrom
Catabolysis;
Catamenial pneumothorax;
Catastrophic antiphospholipid syndrome;
Catathrenia;
Catgut suture;
Cathartic;
Cathelicidin;Cathelicidine
Catherine Otto;
Catheter ablation;Elektrophysiologische Untersuchung
Caudal regression syndrome;Kaudales Regressionssyndrom
Caudate nucleus;Nucleus caudatus
Causes of Parkinson's disease;
Caveolae;Caveolae
Cavum septum pellucidum;Cavum septi pellucidi
CellNetix;
Cell bank;
Cello scrotum;Cello-Hoden
Cellular neuroscience;
Cementoblastoma;Zementoblastom
Cenani–Lenz syndactylism;
Cenn Fáelad mac Ailella;Cenn Fáelad mac Ailella
Center for Devices and Radiological Health;
Center for Health Market Innovations;
Center for Health Transformation;
Center for Information Technology;
Center for International Blood and Marrow Transplant Research;
Center for Scientific Review;
Center for Studies and Research in Aeronautical Medicine;
Centers for Disease Control and Prevention timeline;
Central Drug Research Institute;
Central Park Medical Unit;
Central cord syndrome;
Central core disease;Central-Core-Myopathie
Central giant-cell granuloma;
Central melanocortin system;
Central nervous system fatigue;
Centre for Addiction and Mental Health;
Centre for Reviews and Dissemination;
Cephalhematoma;Kephalhämatom
Cerebellar ataxia;
Cerebellar hypoplasia;
Cerebral blood flow;
Cerebral perfusion pressure;
Cerebritis;
Cerebrotendineous xanthomatosis;
Certified First Responder in France;
Certified Health Physicist;
Certified Pulmonary Function Technician;
Certified Respiratory Therapist;
Ceruloplasmin;Caeruloplasmin
Ceruminous adenoma;
Cervicography;
Cevira;
Chafing (skin);
Chai Lifeline;
Chalk River Laboratories;Chalk River Laboratories
Challenge–dechallenge–rechallenge;
Chandipura virus;
Change deafness;
Changing Faces (charity);
Chao Chien-ming;
Chaotropic agent;Chaotrope Verbindung
Chapman reflex points;
Character orientation;Charakterorientierung
Charité;Charité
Charles Avery Doremus;
Charles Caldwell (physician);
Charles Czeisler;
Charles Fraser (surgeon);
Charles Frick;
Charles Gosse;
Charles H. Zeanah;
Charles Herbert Best;Charles Best
Charles Herbert Stuart-Harris;
Charles Julius Hempel;
Charles Maitland (physician);
Charles Morton (librarian);
Charles Odamtten Easmon;
Charles R. Attwood;
Charles R. Drew University of Medicine and Science;
Charles S. Lieber;
Charles Sandoe Gilbert;
Charles Sophy;
Charles Wilson, 1st Baron Moran;Charles Wilson, 1. Baron Moran
Chartered Institute of Environmental Health;
Chauncy Maples;
Cheek augmentation;
Chemical pneumonitis;
Chemoembolization;
Chemoreceptor trigger zone;Chemorezeptoren-Triggerzone
Chemosensory clusters;
Cherokee Inspired Comfort Award;
Cherry-red spot;
Cherubism;
Chest wall oscillation;
Chevalier Jackson;Chevalier Jackson
Cheyletiella;Cheyletiellose
Chilaiditi syndrome;Chilaiditisyndrom
Chilblains;Frostbeule
Child Life Council;
Child and Adolescent Mental Health Services;
Child life specialist;
Child psychopathology;
Childbirth and obstetrics in antiquity;
Childhood Autism Rating Scale;
Childhood Autism Spectrum Test;
Childhood Cancer Parents Alliance;
Childhood acquired brain injury;
Children's Cancer Study Group;
Children's Cancer and Leukaemia Group;
Children's Craniofacial Association;
Children's Environmental Exposure Research Study;
Children's Health Act;
Children's Heart Foundation;
Children's Oncology Group;
Children with Leukaemia;
Chimeric antigen receptor;
Chimney sweeps' carcinoma;
Chinese Society of Psychiatry;
Chloracne;Chlorakne
Chlordane;Chlordan
Chloride shift;Hamburger-Shift
Chloroethane;Chlorethan
Chloropicrin;Chlorpikrin
Chlorosis (medicine);
Chlorotoxin;
Choanal atresia;Choanalatresie
Choice on Termination of Pregnancy Act, 1996;
Cholecystokinin;Cholecystokinin
Choledochal cysts;
Cholescintigraphy;
Cholesteryl ester storage disease;Cholesterinester-Speicherkrankheit
Cholinergic anti-inflammatory pathway;
Chondrocyte;Chondrozyt
Chondrodystrophy;
Chondrolaryngoplasty;
Chondromyxoid fibroma;
Chondropathy;Chondropathie
Chopart's fracture–dislocation;
Chopin's disease;
Chorangioma;
Chordae tendineae;Chordae tendineae
Chordee;
Chorea acanthocytosis;
Chorioamnionitis;
Chorionic hematoma;
Chorioretinitis;Chorioretinitis
Choroid;Aderhaut
Choroid plexus cyst;Plexuszyste
Choroid plexus papilloma;Plexuspapillom
Choroidal neovascularization;
Choroideremia;
Christian Heinrich Pfaff;Christoph Heinrich Pfaff
Christian Jessen;Christian Jessen
Christian Medical Association of India;
Christian Medical Fellowship;
Christiana Care Health System;
Christine Beauchamp (pseudonym);
Christoph Wilhelm Hufeland;Christoph Wilhelm Hufeland
Christopher and Dana Reeve Foundation;
Chromaffin cell;
Chromium toxicity;
Chromosomal fragile site;
Chromosome 10 (human);Chromosom 10 (Mensch)
Chromosome 11 (human);Chromosom 11 (Mensch)
Chromosome 12 (human);Chromosom 12 (Mensch)
Chromosome 14 (human);Chromosom 14 (Mensch)
Chromosome 16 (human);Chromosom 16 (Mensch)
Chromosome 17 (human);Chromosom 17 (Mensch)
Chromosome 19 (human);Chromosom 19 (Mensch)
Chromosome 20 (human);Chromosom 20 (Mensch)
Chromosome 3 (human);Chromosom 3 (Mensch)
Chromosome 4 (human);Chromosom 4 (Mensch)
Chromosome 5q deletion syndrome;5q-minus-Syndrom
Chromosome 6 (human);Chromosom 6 (Mensch)
Chromosome 7 (human);Chromosom 7 (Mensch)
Chromosome 8 (human);Chromosom 8 (Mensch)
Chromosome 9 (human);Chromosom 9 (Mensch)
Chronaxie;Chronaxie
Chronic Illness (journal);
Chronic Respiratory Disease;
Chronic allograft nephropathy;
Chronic atrophic rhinitis;
Chronic care;
Chronic disease in Northern Ontario;
Chronic neutrophilic leukemia;Chronische Neutrophilenleukämie
Chronic recurrent multifocal osteomyelitis;
Chronostasis;Chronostasis
Chrysiasis;
Chvostek sign;Chvostek-Zeichen
Chyme;Chymus
Chytridiomycosis;Chytridiomykose
Chédiak–Higashi syndrome;Chediak-Higashi-Syndrom
Ciliary body;Corpus ciliare
Ciliary body melanoma;
Cinchonism;
Circular folds;
Circulating microvesicle;
Circulation Research;Circulation Research
Circulatory anastomosis;
Circumventricular organs;Zirkumventrikuläres Organ
Cis-regulatory element;Cis-Element
Citrobacter koseri;
Citrullinemia;
Clare Gerada;
Clare Helminiak;
Clasp-knife response;
Class switch recombination;
Classification Commune des Actes Médicaux;
Classification of pneumonia;
Clay Armstrong;Clay Armstrong
Clean living movement;
Clear-cell adenocarcinoma of the vagina;
Cleft Lip and Palate Association;
Cleidocranial dysostosis;
Clem Windsor;
Cleveland Clinic Lerner College of Medicine;
ClinicalTrials.gov;
Clinical Cancer Research;Clinical Cancer Research
Clinical Data Interchange Standards Consortium;Clinical Data Interchange Standards Consortium
Clinical Laboratory Improvement Amendments;
Clinical Lung Cancer;
Clinical and Translational Science Award;
Clinical cardiac electrophysiology;
Clinical ecology;
Clinical endpoint;Endpunkt
Clinical equipoise;
Clinical pathway;Klinischer Behandlungspfad
Clinical prediction rule;
Clinical research associate;Klinischer Monitor
Clinical trial protocol;
Clitoral enlargement methods;
Clitoral erection;
Clodoveo Ferri;
Clonal anergy;Anergie (Immunologie)
Clonal selection;Klon-Selektionstheorie
Clonally transmissible cancer;Infektiöser Tumor
Clone (cell biology);
Cloned enzyme donor immunoassay;
Closed-eye hallucination;
Closed head injury;
Clostridial necrotizing enteritis;
Clothianidin;Clothianidin
Clown Care;Clowndoktor
Cluster headache treatments;
Cluttering;Poltern (Sprechstörung)
Clyster;
Co-insurance;Mitversicherung
Co-option (biology);
Co-stimulation;
Coagulative necrosis;
Coagulopathy;Koagulopathie
Coats' disease;Morbus Coats
Cobalt poisoning;
Cobalt therapy;Kobaltkanone
Cobas Mira;
Cocaine Anonymous;
Coccydynia;Kokzygodynie
Cockayne syndrome;Cockayne-Syndrom
Coffin–Lowry syndrome;Coffin-Lowry-Syndrom
Cogan syndrome;Okulomotorische Apraxie
Cognition and Brain Sciences Unit;
Cognitive disorder;
Cognitive neuropsychiatry;
Cognitive processing therapy;
Cognitive rehabilitation therapy;
Cognitive remediation therapy;
Cohen syndrome;Cohen-Syndrom
Cold-Food Powder;
Coliform bacteria;Coliforme Bakterien
Colin Butler;
Collagenopathy, types II and XI;
Collectin;
College and Association of Respiratory Therapists of Alberta;
College of Community Physicians of Sri Lanka;
College of Healthcare Information Management Executives;
College of Optometrists in Vision Development;
College of Osteopathic Medicine of the Pacific, Northwest;
College of Physicians and Surgeons of Ontario;
College of Physicians of Philadelphia;
College of Psychologists of Ontario;
College of Respiratory Therapists of Ontario;
College of Respiratory Therapy;
Colleges of Medicine of South Africa;
Colles' fracture;
Colloid cyst;Kolloidzyste
Coloboma;Kolobom
Coma scale;
Combat Stress Intervention Program;
Combat medic;
Commission E;Kommission E
Commission on Accreditation for Respiratory Care;
Commission on Accreditation of Medical Transport Systems;
Commissural fiber;
Commissurotomy;
Common bile duct;Ductus choledochus
Common gamma chain;
Commonwealth v. Twitchell;
Community first responder;
Comorbidity in autism spectrum disorders;
Comparative Toxicogenomics Database;
Compendium of Pharmaceuticals and Specialties;
Complement component 3;
Complement component 5a;
Complement deficiency;
Complement fixation test;Komplementbindungsreaktion
Complicated grief disorder;
Comprehensive Care Management;
Compression garment;
Compression stockings;Kompressionsstrumpf
Compugen (Israeli company);
Compulsive buying disorder;
Compulsive talking;
Computed tomography of the head;
Computer-assisted orthopedic surgery;
Concussion grading systems;
Condyloid process;
Conformation activity relationship;
Conformational epitope;
Congenital absence of the vas deferens;Kongenitale bilaterale Aplasie des Vas deferens
Congenital amegakaryocytic thrombocytopenia;
Congenital chloride diarrhea;
Congenital contractural arachnodactyly;
Congenital diaphragmatic hernia;Zwerchfellhernie
Congenital dyserythropoietic anemia;
Congenital dyserythropoietic anemia type I;
Congenital dyserythropoietic anemia type II;
Congenital dyserythropoietic anemia type III;
Congenital dyserythropoietic anemia type IV;
Congenital fourth nerve palsy;
Congenital glaucoma;
Congenital hereditary endothelial dystrophy;
Congenital hyperinsulinism;
Congenital insensitivity to pain;
Congenital insensitivity to pain with anhidrosis;Hereditäre sensorische und autonome Neuropathie Typ IV
Congenital lacrimal duct obstruction;
Congenital pulmonary airway malformation;
Congenital stromal corneal dystrophy;
Congenital tufting enteropathy;
Congestive hepatopathy;Stauungsleber
Conjugated linoleic acid;Konjugierte Linolsäuren
Conjunctival concretion;
Conjunctival suffusion;
Conjunctivochalasis;
Connectome;Konnektom
Connexion;Connexion
Conrad Baars;
Consanguinity;Blutsverwandtschaft
Constantine Hering;Constantin Hering
Consumers for Dental Choice;
Contour threads;
Contraception in the Republic of Ireland;
Contraction band necrosis;
Control of Communicable Diseases Manual;
Contursi Terme;Contursi Terme
Convergence insufficiency;
Cooks syndrome;
Copayment;
Coprophagia;Koprophagie
Coprophilia;Koprophilie
Cor bovinum;
Cor triatriatum;
Coracoid process;
Cordial (medicine);
Cornea verticillata;
Corneal perforation;
Corneal topography;
Corneal ulcer;
Cornelia de Lange Syndrome;Cornelia-de-Lange-Syndrom
Cornwall Air Ambulance;
Corona phlebectatica;
Coronary stent;
Corpo de Bombeiros de Macau;
Corpus callosotomy;Callosotomie
Corpus luteum;Gelbkörper
Correctional medicine;
Corrosive substance;Ätzende Stoffe
CortiSlim;
Cortical blindness;
Cortical homunculus;
Cortical minicolumn;
Cortical remapping;
Coryza;
Cosmetic camouflage;
Cotinine;Cotinin
Coturnism;
Couching (ophthalmology);
Cough CPR;
Counterfeit medications;
Courvoisier's law;Courvoisier-Zeichen
Cover Oregon;
Coxsackievirus-induced cardiomyopathy;
Cramp fasciculation syndrome;
Cranial electrotherapy stimulation;Craniale Elektrostimulation
Craniodiaphyseal dysplasia;
Craniopagus parasiticus;
Craniopagus twins;
Craniotomy;Kraniotomie
Crash cart;
Creativity and mental illness;
Creighton University School of Medicine;
Cremasteric reflex;
Crenated tongue;
Cri du chat;Katzenschrei-Syndrom
Cricket paralysis virus;
Critical Care Air Transport Team;
CroFab;
Crohn's Disease Activity Index;
Cronkhite–Canada syndrome;Cronkhite-Canada-Syndrom
Cross-cultural psychiatry;
Cross-reactivity;Kreuzallergie
Crouzonodermoskeletal syndrome;
Crown-rump length;Scheitel-Steiß-Länge
