Antioxidant;Antioxidans
Autism Speaks;Autism Speaks
Autism rights movement;Autismus Rechte Bewegung
Avicenna;Avicenna
Axel Munthe;Axel Munthe
Baby Gender Mentor;Baby-Geschlecht Mentor
Baylor College of Medicine;Baylor College of Medicine
Bcl-2;Bcl-2
Behavioral epigenetics;Behavioral Epigenetik
Behavioural change theories;Verhaltensänderungen Theorien
Behçet's disease;Morbus Adamantiades-Behçet
Benzene;Benzol
Bezoar;Bezoar
Bhopal disaster;Katastrophe von Bhopal
Binaural beats;Binaurale Beats
Binocular rivalry;Binokulare Rivalität
Biological therapy for inflammatory bowel disease;Biologische Therapie der chronisch entzündlichen Darmerkrankungen
Bioprospecting;Biopiraterie
Black hairy tongue;Schwarze Haarzunge
Boston University School of Medicine;Der Boston University School of Medicine
Brain fingerprinting;Brain fingerprinting
Brattleboro Retreat;Brattleboro Rückzug
Breast cancer awareness;Brustkrebs-Bewusstsein
Breast pump;Muttermilchpumpe
Brien Holden Vision Institute;Brien Holden Vision Institut
Burning mouth syndrome;Zungenbrennen
Buruli ulcer;Buruli-Ulkus
Burzynski Clinic;Stanisław Burzyński
Byzantine medicine;Byzantinische Medizin
C. Everett Koop;C. Everett Koop
CEN 1789;CEN 1789
Calendar-based contraceptive methods;Knaus-Ogino-Verhütungsmethode
Camelford water pollution incident;Camelford Wasser Verschmutzung
Carbon tetrachloride;Tetrachlormethan
Cardiac output;Herzminutenvolumen
Carl Jung;Carl Jung
Causes and origins of Tourette syndrome;Ursachen und Ursprünge des Tourette-Syndrom
Ccdc109b;Ccdc109b
Cell-free fetal DNA;Cell-freier fetaler DNA
Central nervous system effects from radiation exposure during spaceflight;Central nervous system-Effekte von Strahlenbelastung während Raumfahrt
Central pattern generator;Central pattern generator
Centronuclear myopathy;Myotubuläre Myopathie
Cerebroretinal microangiopathy with calcifications and cysts;Cerebroretinal Mikroangiopathie mit Verkalkungen und Zysten
Certified Registered Nurse Anesthetist (CRNA);Zertifiziert Eingetragene Krankenschwester Anästhesist (CRNA)
Charles Illingworth;Charles Illingworth
Chemical nomenclature;Nomenklatur (Chemie)
Chest photofluorography;Brust photofluorography
Chinese herbology;Chinesische Pflanzenheilkunde
Chiropractic treatment techniques;Chiropraktik Techniken
Chlorofluorocarbon;Fluorchlorkohlenwasserstoffe
Chloroform;Chloroform
Cholera outbreaks and pandemics;Cholera-Ausbrüche und Epidemien
Cholesterol embolism;Cholesterinembolie-Syndrom
Chromatography in blood processing;Chromatographie in Blut Verarbeitung
Chromium deficiency;Chrom-Mangel
Chromothripsis;Chromothripsis
Chronic progressive external ophthalmoplegia;Ophthalmoplegia progressiva externa
Chronic wasting disease;Chronic Wasting Disease
Circumcision controversies;Beschneidung kontroversen
Cleveland Clinic;Cleveland Clinic
Coeliac crisis;Zöliakie Krise
Cognitive reserve;Kognitive reserve
Coley's toxins;Coley ' s Giftstoffe
Comparison of the health care systems in Canada and the United States;Vergleich der Gesundheitssysteme in Kanada und den Vereinigten Staaten
Complement receptor 1;Komplement-rezeptor-1
Complete androgen insensitivity syndrome;Komplette Androgenresistenz
Compound heterozygosity;Compound-heterozygotie
Congenital adrenal hyperplasia due to 11β-hydroxylase deficiency;Kongenitale adrenale Hyperplasie aufgrund der 11β-hydroxylase-Mangel
Congenital adrenal hyperplasia due to 17 alpha-hydroxylase deficiency;Kongenitale adrenale Hyperplasie wegen 17-alpha-hydroxylase-Mangel
Congenital adrenal hyperplasia due to 21-hydroxylase deficiency;Kongenitale adrenale Hyperplasie aufgrund der 21-hydroxylase-Mangel
Congenital adrenal hyperplasia due to 3 beta-hydroxysteroid dehydrogenase deficiency;Kongenitale adrenale Hyperplasie durch die 3-beta-hydroxysteroid-dehydrogenase-Mangel
Congenital disorder of glycosylation;Congenital Disorder of Glycosylation
Consumer-driven health care;Verbraucher-driven health care
Contrast-induced nephropathy;Kontrastmittelinduziertes Nierenversagen
Coordinated Incident Management System;Koordiniert Wird Das Incident-Management-System
Coprolalia;Koprolalie
Cornelius Gemma;Cornelis Gemma
Corrupted Blood incident;Verderbtes Blut Vorfall
Craniofacial team;Kraniofaziale team
Craniosacral therapy;Cranio-Sacral-Therapie
Creosote;Kreosot
Cystatin C;Cystatin C
Cystic fibrosis transmembrane conductance regulator;Cystic Fibrosis Transmembrane Conductance Regulator
Cytogenetics;Zytogenetik
DNA vaccination;DNA-Impfung
DSM-5 codes;DSM-5-codes
DSM-IV codes;DSM-IV-codes
Dancing mania;Tanzwut
Dark skin;Dunkle Haut
David Gorski;David Gorski
David Vetter;David Vetter
De Grey Technology Review debate;De Grey Technology Review Debatte
Death of Savita Halappanavar;Der Tod von Savita Halappanavar
Definitions of abortion;Definitionen der Abtreibung
Dejerine–Roussy syndrome;Thalamussyndrom
Deleted in Colorectal Cancer;Deleted in Colorectal Krebs
Dental amalgam controversy;Amalgam-Kontroverse
Denture-related stomatitis;Zahnersatz-im Zusammenhang stomatitis
Devon Air Ambulance;Devon Air Ambulance
Di George's syndrome;Di George-Syndrom
Diabetes in cats;Feliner Diabetes mellitus
Diagnosis of Asperger syndrome;Diagnose Asperger-Syndrom
Diamond–Blackfan anemia;Diamond-Blackfan-Syndrom
Dichloromethane;Dichlormethan
Diffusion MRI;Diffusions-Tensor-Bildgebung
Dihydrogen monoxide hoax;Dihydrogenmonoxid
Diplopodia;Diplopodia
Doctor (title);Doktor
Domestic violence in Pakistan;Häusliche Gewalt in Pakistan
Donald J. Cohen;Donald J. Cohen
Draize test;Draize-Test
Duane syndrome;Duane-Syndrom
Dye tracing;Färbeversuch (Hydrogeologie)
E. Fuller Torrey;E. Fuller Torrey
E. Morton Jellinek;Elvin Morton Jellinek
EMMS International;EMMS International
Earwax;Ohrenschmalz
EastCare;EastCare
Ectrodactyly–ectodermal dysplasia–cleft syndrome;Ectrodactyly-ektodermale Dysplasie-cleft-Syndrom
Edinburgh Cancer Research Centre;Edinburgh Krebsforschungszentrum
Edward Jenner;Edward Jenner
Edward William Archibald;Edward William Archibald
Effect of spaceflight on the human body;Wirkung der Raumfahrt auf den menschlichen Körper
Effects of sleep deprivation in space;Auswirkungen von Schlafentzug im Raum
Elderly care;Altenpflege
Elizabeth Blackwell;Elizabeth Blackwell (Ärztin)
Elizabeth Garrett Anderson;Elizabeth Garrett Anderson
Embryology;Embryologie
Emergency medical dispatcher;Medizinische Notfall-dispatcher
Emergency medical services in Canada;Emergency medical services in Kanada
Emergency medical services in France;Emergency medical services in Frankreich
Emergency medical services in Germany;Mehrzweckfahrzeug (Feuerwehr)
Emergency medical services in Hong Kong;Emergency medical services in Hong Kong
Emergency medical services in Iceland;Emergency medical services in Island
Emergency medical services in Israel;Emergency medical services in Israel
Emergency medical services in Italy;SAMU
Emergency medical services in New Zealand;Emergency medical services in Neuseeland
Emergency medical services in Norway;Emergency medical services in Norwegen
Emergency medical services in South Africa;Emergency medical services in Südafrika
Emergency medical services in the Netherlands;Emergency medical services in den Niederlanden
Emergency medical services in the United States;Emergency medical services in den Vereinigten Staaten
Emergency medical technician;Rettungsassistent
Emil Theodor Kocher;Theodor Kocher
Endoscopic foreign body retrieval;Endoskopische Fremdkörper Abruf
Endoscopic thoracic sympathectomy;Endoskopische transthorakale Sympathektomie
Endosulfan;Endosulfan
Eosinophilic gastroenteritis;Eosinophile gastroenteritis
Eosinophilic pneumonia;Eosinophile Pneumonie
Episodic ataxia;Die episodische Ataxie
Episodic memory;Episodisches Gedächtnis
Erythromelalgia;Erythromelalgie
Esophagogastroduodenoscopy;Gastroskopie
Eugen Relgis;Eugen Relgis
Eutherian fetoembryonic defense system (eu-FEDS) hypothesis;Eutherian fetoembryonic defense system (eu-FBI-Agenten) Hypothese
Event-related potential;Ereigniskorrelierte Potentiale
Excitotoxicity;Excitotoxizität
Exercise physiology;Sportphysiologie
Extravasation (intravenous);Paravasation
Eye neoplasm;Auge Neubildung
FOXP3;Forkhead-Box-Protein P3
Familial hemiplegic migraine;Familiäre hemiplegische Migräne
Family therapy;Systemische Therapie
Fanconi anemia;Fanconi-Anämie
Fatigue and sleep loss during spaceflight;Müdigkeit und Schlaf-Verlust während der Raumfahrt
Fc receptor;Fc-Rezeptoren
Feeder of lice;Anleger der Läuse
Feingold diet;Feingold-Diät
Fetal hemoglobin;Fetale Hämoglobin
Flow cytometry;Durchflusszytometrie
Fluorescent glucose biosensor;Leuchtstoff-glucose-biosensor
Flynn effect;Flynn-Effekt
Food irradiation;Lebensmittelbestrahlung
Forensic facial reconstruction;Forensische Gesichts-Rekonstruktion
Foreskin restoration;Wiederherstellen der Vorhaut
Frameshift mutation;Frameshift
Francis Collins;Francis Collins
Franklin D. Roosevelt's paralytic illness;Franklin D. Roosevelt lähmende Krankheit
Fred S. Clinton;Fred S. Clinton
Freeman–Sheldon syndrome;Freeman-Sheldon-Syndrom
French paradox;Französisches Paradox
Full-body CT scan;Ganzkörper-CT-scan
Furan;Furan
GM2-gangliosidosis, AB variant;GM2-gangliosidose, AB Variante
GM2 gangliosidoses;GM2 gangliosidoses
G protein-gated ion channel;G-protein-gesteuerter Ionenkanal
Gabor B. Racz;Gabor B. Racz
Ganglioneuroma;Ganglioneurom
Garson Romalis;Garson Romalis
Geel;Geel
Gelotology;Gelotologie
Gene therapy for osteoarthritis;Gen-Therapie für die Behandlung von Arthrose
General pathology;Allgemeine Pathologie
Generalized epilepsy with febrile seizures plus;Dravet-Syndrom
Generation Rescue;Generation Rescue
Genes, Brain and Behavior;Genes, Brain and Behavior
Genetic resistance to malaria;Genetische Resistenz gegen malaria
George E. Goodfellow;George E. Goodfellow
George Hirst (virologist);George Hirst (Virologe)
Geron Corporation;Geron Corporation
Gert Postel;Gert Postel
Gilead Sciences;Gilead Sciences
Glomerulus;Glomerulus
Glucose meter;Blutzuckermessgerät
Glutaric aciduria type 1;Glutaric aciduria Typ 1
Gluten-sensitive enteropathy-associated conditions;Gluten-sensitive Enteropathie-verbundenen Bedingungen
Gluten immunochemistry;Gluten immundiagnostik
Grisi siknis;Grisi siknis
Group C nerve fiber;Gruppe C Nervenfaser
Growth cone;Wachstumskegel
HIV/AIDS in Brazil;HIV/AIDS in Brasilien
HIV/AIDS in the United States;HIV/AIDS in den Vereinigten Staaten
HLA-DQ1;HLA-DQ1
HMG-CoA reductase;HMG-CoA-Reduktase
Haematopoiesis;Hämatopoese
Haloalkane;Fluorkohlenwasserstoffe
Hanging;Erhängen
Hans Andersag;Hans Andersag
Haptic communication;Körperkontakt
Harvard School of Dental Medicine;Der Harvard School of Dental Medicine,
Hawley Harvey Crippen;Hawley Crippen
HealthCare.gov;HealthCare.gov
Health Insurance Portability and Accountability Act;Der Health Insurance Portability and Accountability Act
Health care finance in the United States;Gesundheits-Finanzierung in den Vereinigten Staaten
Health care in Iran;Gesundheitswesen im Iran
Health care in the United States;Gesundheitssystem der Vereinigten Staaten
Health care prices;Gesundheits-Preise
Health issues in animal hoarding;Gesundheit in der animal hoarding
Health realization;Gesundheit Realisierung
Healthcare in Taiwan;Gesundheitswesen in Taiwan
Healthcare in the Republic of Ireland;Gesundheitswesen in der Republik Irland
Healthy Americans Act;Gesunde Amerikaner Handeln
Hemispatial neglect;Visueller Neglect
Henry Head;Henry Head
Hereditary elliptocytosis;Hereditäre elliptozytose
Hidradenitis suppurativa;Acne inversa
High fructose corn syrup;HFCS
Hip protector;Hüftprotektor
Hiram M. Hiller, Jr.;Hiram M. Hiller, Jr.
History of Asperger syndrome;Geschichte der Asperger-Syndrom
History of Tourette syndrome;Geschichte des Tourette-Syndrom
History of abortion;Geschichte der Abtreibung
History of anatomy;Geschichte der Anatomie
History of cancer chemotherapy;Geschichte der Krebs-Chemotherapie
History of cardiopulmonary resuscitation;Geschichte der Herz-Lungen-Wiederbelebung
History of condoms;Geschichte von Kondomen
History of depression;Geschichte der depression
History of electroconvulsive therapy in the United Kingdom;Geschichte der Elektroschock-Therapie im Vereinigten Königreich
History of emerging infectious diseases;Geschichte der auftretenden Infektionskrankheiten
History of intersex surgery;Geschichte von intersex-Chirurgie
History of invasive and interventional cardiology;Geschichte von invasive und interventionelle Kardiologie
History of psychosurgery in the United Kingdom;Geschichte der psychosurgery im Vereinigten Königreich
History of surgery;Geschichte der Chirurgie
Hospital corpsman;Hospital Corpsman
Human cloning;Das Klonen von Menschen
Human embryogenesis;Menschliche Embryonalentwicklung
Human leukocyte antigen;Human Leukocyte Antigen
Human skin color;Hautfarbe
Human–animal breastfeeding;Mensch-Tier-Stillen
Humorism;Humoralpathologie
Hydrazine;Hydrazin
Hydrofluoric acid;Flusssäure
Hyperbaric medicine;Hyperbare Oxygenierung
Hyperorgasmia;Hyperorgasmia
Ibn al-Nafis;Ibn an-Nafīs
Idiopathic infantile arterial calcification;Idiopathische infantile Arterienverkalkung
IgA nephropathy;IgA-Nephritis
Image-guided radiation therapy;Bildgestützte Strahlentherapie
Iminoglycinuria;Iminoglycinuria
Immunocontraception;Immunocontraception
Immunoglobulin A;Immunglobulin A
Immunostaining;Immunfärbung
Impact of health on intelligence;Auswirkungen der Gesundheit, die auf Intelligenz
Implantable collamer lens;Implantierbare collamer Objektiv
Infant formula;Säuglingsnahrung
Inferior sagittal sinus;Sinus sagittalis Inferior
Inferior vena cava filter;Cavafilter
Insulin shock therapy;Insulinschocktherapie
International Federation of Medical Students' Associations;International Federation of Medical Students’ Associations
International Medical Commission on Bhopal;Internationalen Medizinischen Kommission auf Bhopal
Intima-media thickness;Intima-media-Dicke
Intraocular lens power calculation;Intraokularlinsen-power-Berechnung
Irmfried Eberl;Irmfried Eberl
Isaac Starr;Isaac Starr
Isodicentric 15;Isodicentric 15
Isothalamus;Isothalamus
James Black (pharmacologist);James Whyte Black
James Paget;James Paget
James W. Holsinger;James W. Holsinger
Jerry Avorn;Jerry Avorn
Johanson–Blizzard syndrome;Johanson-Blizzard-Syndrom
John Cade;John Cade
John Forrest (doctor);John Forrest (Arzt)
John Harvey Kellogg;John Harvey Kellogg
John Mayow;John Mayow
John Ordronaux (doctor);John Ordronaux (Arzt)
John R. Brinkley;John R. Brinkley
John Snow (physician);John Snow (Arzt)
Jonas Salk;Jonas Salk
Jordan University of Science and Technology;Jordanische Universität für Wissenschaft und Technologie
Joseph B. MacInnis;Joseph B. MacInnis
Joycelyn Elders;Joycelyn Elders
K-complex;K-komplexe
Kaiser Permanente;Kaiser Permanente
Kangaroo care;Känguru-Methode
Kathleen Sebelius;Kathleen Sebelius
Keep Your Health Plan Act of 2013;Halten Sie Ihre Gesundheit, Planen, Handeln 2013
Kent Air Ambulance;Kent Air Ambulance
King's College Criteria;King ' s College Kriterien
Kleine–Levin syndrome;Kleine-Levin-Syndrom
Kt/V;Kt/V
LDL receptor;LDL-Rezeptor
Large-cell lung carcinoma with rhabdoid phenotype;Groß-cell lung carcinoma mit rhabdoid Phänotyp
Lateral lemniscus;Lemniscus lateralis
Lathyrism;Lathyrismus
Lennox–Gastaut syndrome;Lennox-Gastaut-Syndrom
Lethal white syndrome;Overo-Lethal-White-Gen
Leukocyte extravasation;Leukodiapedese
Lichen nitidus;Lichen nitidus
Light skin;Helle Haut
Linear particle accelerator;Linearbeschleuniger
Lip augmentation;Lippenvergrößerung
Lipoid congenital adrenal hyperplasia;Lipoides kongenitale adrenale Hyperplasie
Lipoprotein;Lipoproteine
Liverpool Care Pathway for the Dying Patient;Liverpool Care Pathway für den Sterbenden Patienten
Lobotomy;Lobotomie
Loline alkaloid;Lolinalkaloide
Los Angeles City Fire Department;Los Angeles City Fire Department
Louisville Metro EMS;Louisville Metro-EMS
Low-density lipoprotein;Low Density Lipoprotein
Lupus headache;Lupus Kopfschmerzen
MV Chauncy Maples;MV Chauncy Ahorn
Maccabiah bridge collapse;Maccabiah Brücke Zusammenbruch
Malaria culture;Malaria Kultur
Mammomonogamus;Mammomonogamus
Management of obesity;Behandlung von Fettleibigkeit
Marcellus Empiricus;Marcellus Empiricus
Marci Bowers;Marci Bowers
Marios Kyriazis;Marios Kyriazis
Maturity onset diabetes of the young;MODY
Medical College Admission Test;Medical College Admission Test
Medical animation;Medizinische animation
Medical anthropology;Medizinische Anthropologie
Medical director;Ärztlicher Direktor
Medical peer review;Medical peer review
Medical school in the United Kingdom;Medical school in Großbritannien
Medical torture;Medizinische Folter
Medical transcription;Medizinische Transkription
Medical underwriting;Medizinische Risikoprüfung
Medicare (United States);Medicare
Medicine in the medieval Islamic world;Persisch-arabisch-islamische Medizin
Medieval medicine of Western Europe;Medizin des Mittelalters
Medium-chain acyl-coenzyme A dehydrogenase deficiency;Medium-Chain-Acyl-CoA-Dehydrogenase-Mangel
Methemoglobinemia;Methämoglobinämie
Miami Project to Cure Paralysis;Miami-Projekt zu Heilen Lähmung
Michael E. DeBakey;Michael Ellis DeBakey
Michael Shepherd (psychiatrist);Michael Schäfer (Psychiater)
Mild androgen insensitivity syndrome;Milde Androgenrezeptor-defekt
Minimed Paradigm;Minimed Sein (Paradigma
Minnesota Multiphasic Personality Inventory;Minnesota Multiphasic Personality Inventory
Miodrag Radulovacki;Miodrag Radulovacki
Molecular mimicry;Molekulare Mimikry
Mondino de Liuzzi;Mondino dei Luzzi
Muhamad Aly Rifai;Muhamad Aly Rifai
Musical hallucinations;Musikalische Halluzinationen
Myelolipoma;Myelolipom
Naphthalene;Naphthalin
Nathan Alcock;Nathan Alcock
National Intelligence Assessments on Infectious Diseases;National Intelligence-Bewertungen auf Infektionskrankheiten
National Museum of Health and Medicine;Nationalen Museum für Gesundheit und Medizin
National Registry Emergency Medical Technician;Rettungssanitäter
Natural health;Natürliche Gesundheit
Neanderthal genome project;Neandertaler-Genom-Projekt
Needle remover;Nadel-Entferner
Nerve guidance conduit;Nerv Führung conduit
Neural Darwinism;Theorie der Neural Group Selection
Neural ensemble;Neuronale Ensembles
Neural fold;Neuronale Falten
Neural plate;Neuralplatte
Neuroinformatics;Neuroinformatik
Neuromechanics of idiopathic scoliosis;Neuromechanics der idiopathischen Skoliose
